reglage: 
Mini = -20.0
Maxi = 40.0
unite = VOLT
npoint = 100
nom = 1
mes = CURR
comp = 100.0

Input 1 	 Output 1 
-20.0	6.9181e-08
-19.4	-7.0449e-08
-18.8	-7.0049e-08
-18.2	-6.8754e-08
-17.6	-6.922e-08
-17.0	-6.8142e-08
-16.4	-6.8261e-08
-15.8	-6.7967e-08
-15.2	-6.7921e-08
-14.6	6.422e-08
-14.0	6.6184e-08
-13.4	6.6375e-08
-12.8	6.6439e-08
-12.2	6.6979e-08
-11.6	6.6468e-08
-11.0	6.6441e-08
-10.4	-6.7104e-08
-9.8	-6.7721e-08
-9.2	6.655e-08
-8.6	6.6701e-08
-8.0	6.7529e-08
-7.4	-6.6824e-08
-6.800000000000001	-6.6628e-08
-6.199999999999999	-6.9144e-08
-5.6	6.6951e-08
-5.0	6.6659e-08
-4.4	-6.6777e-08
-3.8000000000000007	-6.6671e-08
-3.1999999999999993	-6.7148e-08
-2.6000000000000014	-6.8102e-08
-2.0	-6.6542e-08
-1.3999999999999986	6.7412e-08
-0.8000000000000007	6.7251e-08
-0.1999999999999993	-6.6915e-08
0.3999999999999986	6.7358e-08
1.0	6.7344e-08
1.6000000000000014	6.7752e-08
2.1999999999999993	6.7138e-08
2.8000000000000007	-6.6939e-08
3.3999999999999986	6.7925e-08
4.0	6.7333e-08
4.600000000000001	6.729e-08
5.199999999999999	6.7333e-08
5.800000000000001	6.737e-08
6.399999999999999	6.7199e-08
7.0	6.7401e-08
7.600000000000001	6.7439e-08
8.2	6.7384e-08
8.8	-6.6694e-08
9.399999999999999	-6.653e-08
10.0	-6.655e-08
10.600000000000001	6.8342e-08
11.2	6.7328e-08
11.8	6.7515e-08
12.399999999999999	-6.6837e-08
13.0	6.7705e-08
13.600000000000001	6.7991e-08
14.200000000000003	-6.687e-08
14.799999999999997	-6.781e-08
15.399999999999999	5.3037e-08
16.0	6.7729e-08
16.6	6.7601e-08
17.200000000000003	6.5294e-08
17.799999999999997	6.768e-08
18.4	6.7655e-08
19.0	6.5102e-08
19.6	-6.6782e-08
20.200000000000003	-6.7263e-08
20.799999999999997	-6.6717e-08
21.4	-6.6786e-08
22.0	6.8179e-08
22.6	-6.6654e-08
23.200000000000003	-6.6676e-08
23.799999999999997	-6.6164e-08
24.4	-6.7139e-08
25.0	6.83e-08
25.6	6.9035e-08
26.200000000000003	-6.6412e-08
26.799999999999997	-6.6281e-08
27.4	7.0593e-08
28.0	6.8147e-08
28.6	6.8587e-08
29.200000000000003	6.8283e-08
29.799999999999997	6.8489e-08
30.4	-6.6824e-08
31.0	-6.6574e-08
31.6	-6.6606e-08
32.2	-6.6395e-08
32.8	1.6525e-07
33.4	-6.6149e-08
34.0	6.9565e-08
34.6	6.8775e-08
35.2	-6.6839e-08
35.8	-6.6507e-08
36.4	-6.7895e-08
37.0	6.9125e-08
37.6	-6.6309e-08
38.2	6.991e-08
38.8	6.9826e-08
39.4	0.0001000003
